,participant_id,rating,session_start,total_interactions,duration_minutes,interaction_rate
0,Avatar1,11,1,12,11.512710033333333,1.0423262607375494
1,JoeBman,18,1,19,5.992624883333334,3.170563879752048
2,Luukkoe007_Xx,13,1,14,8.087223683333333,1.7311256060410565
3,mainbitch2026,14,1,15,8.531185016666667,1.7582551510365496
4,pfs-student,10,1,11,11.782993216666666,0.9335488697762172
5,pipo,15,1,16,49.53586445,0.32299829987119566
6,twen,6,1,7,9.311018166666665,0.7517974806514627
